               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094994,            0.017145,            0.053527,          0.00066387,             0.15193,           0.0010942,          0.00019195,            0.080109,            0.010536,            0.050048,            0.070132,           0.0033186,           0.0033186
                   1,            0.078435,            0.014624,            0.039442,           0.0015736,             0.57056,           0.0051699,           0.0014605,             0.07458,            0.010639,            0.033181,                0.04,           0.0065203,           0.0065203
                   2,            0.074805,            0.014041,            0.028144,           0.0033322,             0.37138,           0.0057213,           0.0015778,            0.078899,            0.010314,            0.033492,           0.0097367,           0.0095899,           0.0095899
                   3,            0.073798,            0.013894,            0.024856,             0.34466,             0.06784,           0.0068364,           0.0016672,            0.075931,            0.010507,            0.032244,            0.009406,            0.009406,            0.009406
                   4,            0.072135,            0.013357,            0.023501,             0.37514,            0.091036,            0.035938,            0.011203,            0.070133,             0.01056,            0.022102,            0.009406,            0.009406,            0.009406
                   5,            0.071072,            0.013082,            0.019779,             0.38774,            0.068657,            0.039364,            0.012311,            0.070728,            0.010235,            0.020167,            0.009208,            0.009208,            0.009208
                   6,            0.068567,            0.013249,             0.01799,             0.63678,            0.085119,            0.080633,            0.024636,            0.067493,            0.010029,            0.019673,             0.00901,             0.00901,             0.00901
                   7,            0.066737,            0.012584,            0.015761,             0.49257,             0.12874,             0.12497,            0.036267,            0.064819,           0.0099312,            0.019442,            0.008812,            0.008812,            0.008812
                   8,            0.065661,            0.012368,            0.014559,             0.19132,             0.16184,             0.14024,            0.035249,            0.065085,           0.0097737,            0.016769,            0.008614,            0.008614,            0.008614
                   9,            0.064184,            0.012429,            0.013333,             0.13328,             0.15153,             0.12573,            0.036635,            0.064398,            0.010063,            0.025064,            0.008416,            0.008416,            0.008416
                  10,             0.06285,            0.012201,            0.012659,             0.19559,             0.20642,             0.15673,            0.046641,            0.064137,           0.0094921,            0.018913,            0.008218,            0.008218,            0.008218
                  11,            0.061674,             0.01178,            0.011833,             0.21653,             0.21801,             0.15686,            0.048227,              0.0643,            0.009643,            0.021641,             0.00802,             0.00802,             0.00802
                  12,            0.060101,            0.011886,            0.010887,             0.27145,              0.1898,             0.15186,            0.048514,            0.063263,            0.010371,            0.022198,            0.007822,            0.007822,            0.007822
                  13,            0.059649,            0.011803,            0.010425,             0.20687,             0.20444,             0.17782,            0.058984,            0.063559,           0.0095588,            0.017926,            0.007624,            0.007624,            0.007624
                  14,            0.058567,            0.011561,            0.010009,             0.27212,             0.19477,             0.18129,            0.051291,            0.064656,           0.0096152,            0.019643,            0.007426,            0.007426,            0.007426
                  15,            0.057301,            0.011482,           0.0088766,             0.22391,             0.25159,             0.21128,            0.073071,            0.061638,           0.0094968,            0.018218,            0.007228,            0.007228,            0.007228
                  16,            0.055524,            0.011304,           0.0082717,             0.18333,             0.20861,             0.15372,            0.051402,            0.066603,           0.0096953,            0.023965,             0.00703,             0.00703,             0.00703
                  17,            0.055278,            0.011231,           0.0080627,             0.27599,             0.30809,             0.22884,            0.070099,            0.061508,            0.009603,            0.018665,            0.006832,            0.006832,            0.006832
                  18,            0.054583,             0.01112,           0.0074262,             0.29843,             0.22887,             0.23146,            0.077741,            0.062558,           0.0096067,            0.018681,            0.006634,            0.006634,            0.006634
                  19,            0.052921,            0.010753,           0.0068103,             0.28563,             0.27857,             0.22661,            0.075569,            0.063966,           0.0094195,            0.019726,            0.006436,            0.006436,            0.006436
                  20,            0.052933,            0.010216,           0.0064966,             0.25729,             0.27682,             0.19326,            0.063457,            0.062238,            0.010048,             0.02019,            0.006238,            0.006238,            0.006238
                  21,            0.051395,            0.010296,           0.0059223,             0.21711,             0.23693,             0.18525,            0.053248,            0.063981,           0.0099716,            0.016274,             0.00604,             0.00604,             0.00604
                  22,            0.050252,            0.010418,            0.005793,             0.26974,             0.25294,             0.22264,            0.066773,            0.063458,           0.0097226,            0.020483,            0.005842,            0.005842,            0.005842
                  23,            0.049221,            0.010368,           0.0058378,             0.30017,             0.26176,             0.22116,              0.0742,            0.063129,             0.01038,            0.019086,            0.005644,            0.005644,            0.005644
                  24,            0.048789,           0.0099844,           0.0047467,             0.25654,             0.26376,             0.21154,            0.064466,            0.063452,           0.0095916,             0.02103,            0.005446,            0.005446,            0.005446
                  25,            0.047716,           0.0099216,           0.0047349,             0.24114,             0.30037,             0.21528,            0.072373,            0.062147,           0.0096521,            0.021752,            0.005248,            0.005248,            0.005248
